,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
neighbourhood,-0.32010001172619756,0.13856013983176663,-0.17541808237219253,-0.10340061208393343,-0.047271115834216317,0.05238088687501145,0.03449085986420036,-0.17264985778850853,0.19733355360530672,0.04140234030743061,-0.016967188538356416,0.4848126445191711,-0.13456301533392678
latitude,-0.21659987468424136,0.1710496058957763,0.38143177856629956,0.19201159270632506,0.038836546828480846,0.08442051067601547,-0.06332248554454614,0.17922321104752736,-0.26097449452912874,-0.2762279789223885,0.03412855956980234,-0.3354311821765745,0.11301339962470365
longitude,0.23944127481019728,-0.05647703575043282,0.4447831767221561,0.19293739392369963,0.11598865442641831,-0.20515049193746537,0.07766242695825025,-0.0719404171176533,-0.007136899067117855,-0.10836655729100025,0.017099977618887995,0.027467280484329948,0.02344871423582663
minimum_nights,-0.08127957820308533,-0.07075802876901893,0.07367018633852515,-0.3445434596910393,0.5315897942655226,-0.07077129840612141,-0.11540756493682276,0.05241138442719028,-0.3236344514796892,0.18164452458881158,-0.0853241747463303,0.17321372972114163,0.1611013647863841
number_of_reviews,0.14994983083276417,0.3380834732711447,-0.1079891929304605,0.022077705044271784,0.13810237523362776,-0.04403240209019766,-0.04727259147961392,0.046002583203978376,-0.06098212800167253,0.07911030024896695,0.7617605614997366,0.030078932011315982,-0.09541022755779827
reviews_per_month,0.19483825085180956,0.38863273091171685,-0.03718044148032876,-0.0027097938868608485,0.009848181036073357,-0.024685730606382888,-0.005351412847794093,-0.044720940631729676,-0.14087889187814392,0.1041951545727028,-0.1534921519759701,0.1879732335819309,0.5253849286880875
availability_365,0.06867828447331305,0.12125078190037238,0.13805362776656108,-0.3133460663418174,0.21991165944838967,0.08888115129895231,0.010201210674996977,0.31088359008102723,0.7561993586969976,-0.26582530538879384,0.03384308442289304,-0.07657550276455888,0.23124559419233334
is_new_listing,-0.10597638312936088,-0.19564903060716612,0.23404349045267211,-0.3336403011795333,-0.36133002070414366,-0.0850563786797417,-0.03876907994317666,-0.013906584940214363,-0.10206926750960384,0.08629627692584624,0.5057259681486689,0.13873607275928845,0.35330164915430234
dist_times_square,0.3713122061716882,-0.1755171431983395,0.07296690953934022,-0.0167160744584407,0.03548810763890824,0.20559313558436448,-0.009328846017927245,0.000879507788011735,-0.12587360034031506,-0.2499816873935144,0.02700278666566589,0.14836270890759698,-0.043365601926139155
dist_central_park,0.35506792736419096,-0.1980947659841236,-0.13066280126374014,-0.11195671462071771,0.0010348472024084168,0.14035197269246383,0.018220260237243973,-0.08234273912374675,0.023932613491356745,-0.09754680195613175,0.0022629076348263453,0.32159472762776914,-0.09112778548291685
