k,Inertia,Gap,Silhouette
2,586893.0175574063,3.35434002783858,0.10139939872278962
3,546820.6227563493,3.302418182250298,0.1158160292277791
4,493659.4484628115,3.315140948906061,0.13638026804841047
5,450079.66395375476,3.3662085362502108,0.1376133333782424
6,429922.4202711998,3.3722096128387555,0.1486527756758679
7,396553.5776874377,3.424396041336239,0.15004211519974922
8,382565.4207350806,3.4310589275908843,0.14845672509548188
9,346584.3753487031,3.5122388477555475,0.17609833832652455
10,325766.9045562928,3.5556597095512785,0.17406526548838921
